input,language
pspsps,Latin
Smile more,Latin
Why are you crying?,Latin
Карындас,Cyrillic
Hey gorgeous,Latin
What are you wearing? ,Latin
miss sarap mo,Latin
انتي قحبة ,Arabic
3teeni snabch!,Latin
Where's your boyfriend?,Latin
أيه يا مزه,Arabic
Masala maal aaj,Latin
“you have sexy tits”,Latin
d**k.jpg,Latin
You are ugly,Latin
You look ugly,Latin
Give me a smile,Latin
Are you single,Latin
I want to breed you,Latin
May boyfriend ka ba?,Latin
Can I take a picture of you?,Latin
Masala maal aaj,Latin
He followed me and whistled ,Latin
smile more,Latin
Eh questa gonna?,Latin
आहा कस्ती राम्री,Devangari
च्वाक,Devangari
you look so easy ,Latin
Mami,Latin
Whistle ,Latin
美女,SimplifiedHan
মাল,Bengali
妈妈,SimplifiedHan
انتي قحبة,Arabic
*honk honk*,Latin
I love your smile!,Latin
美女,SimplifiedHan
Fen a Shakira,Arabic
عطيني سنابج,Arabic
Hello,Latin
